log_id,user_id,period_id,type_id,date,time,food_name,food_group,quantity,calories,food_national,food_price
104,u000003,p002,T00002,2021/11/30,12:00:00,ก๋วยเตี๋ยวน้ำตกหมู,ก๋วยเตี๋ยว,1,360,ไทย,40
105,u000004,p002,T00002,2021-11-30,12:00:00,สุกี้ไก่,ก๋วยเตี๋ยว,1,250,ไทย,55
106,u000004,p003,T00004,2021-11-30,16:00:00,ทาร์ตไข่,ของหวาน,1,170,นานาชาติ,35
107,u000004,p004,T00002,2021-11-30,17:00:00,ข้าวเหนียวหมูทอด,ข้าว,1,440,ไทย,50
108,u000002,p004,T00002,2021/11/30,17:30:00,สเต๊กหมูคุโรบุตะ,กับข้าว,1,375,นานาชาติ,189
109,u000001,p004,T00002,2021/11/30,18:00:00,ก๋วยเตี๋ยวเย็นตาโฟต้มยำ,ก๋วยเตี๋ยว,1,420,ไทย,50
110,u000003,p004,T00002,2021/11/30,18:00:00,แซลมอนซาชิมิ,กับข้าว,1,179,ญี่ปุ่น,301
111,u000002,p002,T00002,2021/11/30,12:10:00,เบอร์เกอร์เนื้อ,ขนมปัง,1,350,นานาชาติ,159
112,u000001,p001,T00002,2021/11/30,8:30:00,ข้าวหมูทอดกระเทียม,ข้าว,1,525,ไทย,40
113,u000003,p001,T00002,2021/12/01,8:30:00,โดนัท,ขนม,1,452,นานาชาติ,20
114,u000003,p001,T00001,2021/12/01,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
115,u000001,p001,T00001,2021/12/01,9:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
116,u000003,p001,T00002,2021/12/01,9:00:00,โจ๊กไก่,ข้าว,1,120,ไทย,25
117,u000004,p001,T00001,2021-12-01,10:00:00,กาแฟท๊อฟฟี่นัทลาเต้,กาแฟ,1,301,นานาชาติ,150
118,u000001,p002,T00002,2021/12/01,12:00:00,ข้าวแกงกะหรี่หมู,ข้าว,1,800,ไทย,40
119,u000003,p002,T00002,2021/12/01,12:00:00,ผัดไทยกุ้งสด,ก๋วยเตี๋ยว,1,488,ไทย,70
120,u000002,p002,T00002,2021/12/01,12:10:00,ข้าวมันไก่,ข้าว,1,618,ไทย,80
121,u000002,p002,T00001,2021/12/01,12:10:00,ชาเขียวเย็น,ชา,1,319,นานาชาติ,65
122,u000004,p002,T00002,2021-12-01,12:30:00,ต้มจืดเต้าหู้หมูสับ,กับข้าว,1,200,ไทย,50
123,u000004,p004,T00005,2021-12-01,17:00:00,แก้วมังกร,ผลไม้,1,60,นานาชาติ,30
124,u000001,p004,T00002,2021/12/01,18:00:00,ข้าวไข่เจียว,ข้าว,1,320,ไทย,30
125,u000002,p005,T00002,2021/12/01,19:30:00,ซุปหม่าล่าจีน,กับข้าว,1,748,จีน,100
126,u000003,p005,T00002,2021/12/01,19:30:00,ไก่ทอดวิงแซ่บ,กับข้าว,5,500,นานาชาติ,129
127,u000001,p001,T00002,2021/12/01,8:30:00,ข้าวผัดหมูู,ข้าว,1,630,ไทย,40
128,u000002,p003,T00001,2021/12/02,15:30:00,น้ำส้ม,น้ำผลไม้,1,100,นานาชาติ,45
129,u000004,p001,T00001,2021-12-02,10:00:00,ชาเขียว,ชา,1,120,นานาชาติ,70
130,u000001,p002,T00002,2021/12/02,11:00:00,ข้าวมันไก่,ข้าว,1,618,ไทย,250
131,u000002,p002,T00002,2021/12/02,12:30:00,ข้าวไก่กระเทียม,ข้าว,1,360,ไทย,55
132,u000004,p002,T00002,2021-12-02,12:30:00,ข้าวไข่เจียว ใส่แฮม,ข้าว,1,300,ไทย,60
133,u000001,p003,T00001,2021/12/02,14:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,120
134,u000001,p004,T00002,2021/12/02,17:00:00,ข้าวมันไก่,ข้าว,1,618,ไทย,40
135,u000004,p004,T00002,2021-12-02,18:00:00,ข้าวผัดน้ำพริก,ข้าว,1,640,ไทย,180
136,u000001,p005,T00004,2021/12/02,20:00:00,กล้วยบวชชี,ของหวาน,1,325,ไทย,10
137,u000002,p002,T00002,2021/12/02,12:10:00,ปลากระพงทอดน้ำปลา,กับข้าว,1,230,ไทย,300
138,u000001,p001,T00002,2021/12/03,8:00:00,ผัดซีอิ๊ว,ก๋วยเตี๋ยว,1,730,ไทย,40
139,u000002,p001,T00002,2021/12/03,8:30:00,แซนวิชแฮมชีส,ขนมปัง,1,240,นานาชาติ,27
140,u000001,p001,T00001,2021/12/03,10:00:00,กาแฟอเมริกาโน่ (ไม่หวาน),กาแฟ,1,0,นานาชาติ,55
141,u000004,p001,T00002,2021-12-03,10:00:00,ข้าวเหนียว หมูปิ้ง,ข้าว,1,586,ไทย,30
142,u000004,p001,T00001,2021-12-03,10:00:00,กาแฟดำ หวานน้อย,กาแฟ,1,50,นานาชาติ,60
143,u000001,p002,T00002,2021/12/03,12:00:00,ข้าวหน้าหมูยากินิกุ,ข้าว,1,500,ญี่ปุ่น,49
144,u000004,p002,T00002,2021-12-03,12:00:00,ข้าวต้มหมู,ข้าว,1,360,ไทย,60
145,u000002,p002,T00002,2021/12/03,12:10:00,ข้าวขาหมูไม่เอาหนัง,ข้าว,1,408,ไทย,50
146,u000002,p002,T00002,2021/12/03,12:10:00,ต้มแซ่บ,กับข้าว,1,160,ไทย,300
147,u000001,p002,T00005,2021/12/03,13:00:00,ฝรั่ง,ผลไม้,1,68,นานาชาติ,20
148,u000004,p003,T00001,2021-12-03,14:00:00,ชานมไข่มุก,ชา,1,315,ไต้หวัน,70
149,u000001,p003,T00003,2021/12/03,15:00:00,ขนมแคร็กเกอร์ bin bin,ขนม,1,120,ญี่ปุ่น,5
150,u000001,p004,T00002,2021/12/03,17:30:00,ข้าวผัดคะน้าหมูชิ้น,ข้าว,1,500,ไทย,50
151,u000004,p004,T00005,2021-12-03,18:00:00,ฝรั่ง,ผลไม้,1,100,นานาชาติ,50
152,u000003,p001,T00002,2021/12/04,8:00:00,ไส้กรอก,ของว่าง,1,300,นานาชาติ,40
153,u000003,p001,T00001,2021/12/04,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
154,u000001,p001,T00002,2021/12/04,9:30:00,คอนเฟล็ก,ของว่าง,1,160,นานาชาติ,20
155,u000001,p001,T00001,2021/12/04,9:30:00,เวย์โปรตีน,อาหารเสริม,1,140,นานาชาติ,20
156,u000001,p001,T00001,2021/12/04,9:30:00,นมสด,นม,1,140,นานาชาติ,10
157,u000001,p001,T00001,2021/12/04,10:00:00,กาแฟดริป,กาแฟ,1,0,นานาชาติ,20
158,u000004,p001,T00002,2021-12-04,10:00:00,ผัดมาม่าทูน่า,ก๋วยเตี๋ยว,1,250,ไทย,50
159,u000002,p001,T00002,2021/12/04,10:30:00,ข้าวผัด,ข้าว,1,606,ไทย,50
160,u000001,p002,T00002,2021/12/04,11:30:00,ข้าวกะเพราะเนื้อ,ข้าว,1,622,ไทย,92
161,u000001,p002,T00002,2021/12/04,12:00:00,บะหมี่เกี๊ยว,ก๋วยเตี๋ยว,1,370,จีน,50
162,u000003,p002,T00002,2021/12/04,12:00:00,ก๋วยเตี๋ยวราดหน้าปลากะพง,ก๋วยเตี๋ยว,1,400,ไทย,120
163,u000003,p002,T00005,2021/12/04,12:00:00,กล้วยหอม,ผลไม้,1,88,นานาชาติ,8
164,u000004,p002,T00001,2021-12-04,12:00:00,ชาเขียว,ชา,1,242,นานาชาติ,190
165,u000004,p004,T00002,2021-12-04,15:00:00,หมูย่างเกาหลี,กับข้าว,1,330,เกาหลี,300
166,u000001,p004,T00002,2021/12/04,18:00:00,ข้าวผัดปู,ข้าว,1,650,ไทย,80
167,u000002,p004,T00002,2021/12/04,18:00:00,ฮ่อยจ๊อ,ของว่าง,1,230,ไทย,120
168,u000002,p004,T00002,2021/12/04,18:00:00,ปลากระพงทอดน้ำปลา,กับข้าว,1,230,ไทย,280
169,u000002,p004,T00002,2021/12/04,18:00:00,เป็ดพะโล้,ของว่าง,1,253,ไทย,120
170,u000002,p004,T00002,2021/12/04,18:00:00,ยำคอหมูย่าง,ยำ,1,560,ไทย,120
171,u000003,p004,T00002,2021/12/04,18:00:00,ไก่ทอดวิงแซ่บ,กับข้าว,5,500,นานาชาติ,129
172,u000001,p001,T00002,2021/12/04,8:30:00,โจ๊กหมูใส่ไข่,ข้าว,1,250,ไทย,30
173,u000003,p001,T00002,2021/12/05,8:30:00,หนังไก่ข้าวเหนียว,ข้าว,1,300,ไทย,30
174,u000003,p001,T00001,2021/12/05,8:30:00,กาแฟคาปูชิโนร้อน,กาแฟ,1,200,นานาชาติ,35
175,u000002,p001,T00002,2021/12/05,9:00:00,ผัดหอยลาย,ของว่าง,1,93,ไทย,90
176,u000001,p001,T00001,2021/12/05,10:00:00,กาแฟดริป,กาแฟ,1,0,นานาชาติ,20
177,u000004,p001,T00001,2021-12-05,10:00:00,ชานมไข่มุก,ชา,1,315,ไต้หวัน,55
178,u000001,p002,T00002,2021/12/05,12:00:00,ข้าวหน้าเนื้อยากินิกุ,ข้าว,1,758,ญี่ปุ่น,120
179,u000003,p002,T00002,2021/12/05,12:00:00,ผัดซีอิ๊วใส่ไข่,ก๋วยเตี๋ยว,1,790,ไทย,40
